text,predicted_label,confidence,needs_review
"Barcelona transition quickly, Raphinha sprinting into space, he fires a low cross into the box—Lewandowski misses it by a fraction of an inch!",neutral,0.503,True
Disaster for Madrid!,neutral,0.571,True
A defensive mix-up between Courtois and Militão allows Lamine Yamal to pounce on the loose ball.,neutral,0.486,True
"He doesn't hesitate, slotting it into the bottom corner with icy composure.",hyped,0.445,True
The away section is absolutely erupting!,neutral,0.497,True
Madrid are reeling here; they’ve lost their shape entirely in the midfield.,neutral,0.571,True
"Bellingham looks frustrated, gesturing to his teammates to wake up.",neutral,0.471,True
Wait—the referee is pointing to the spot!,neutral,0.489,True
A controversial decision after Bellingham went down under a challenge from Cubarsí.,neutral,0.457,True
"The replays are inconclusive, but the Madrid players are surrounding the official, demanding a red card.",neutral,0.539,True
It's absolute chaos on the pitch.,neutral,0.497,True
"Gavi is furious, pushing back, and the ref has to step in to pull everyone apart.",neutral,0.517,True
Vinícius steps up to take the penalty...,neutral,0.49,True
he sends the keeper the wrong way!,neutral,0.497,True
The intensity hasn't dropped for a second.,neutral,0.453,True
We’ve seen three crunching tackles in the last five minutes alone.,neutral,0.5,True
"The referee is doing his best to keep a lid on this, but tempers are boiling over.",neutral,0.455,True
Raphinha forces a world-class save from Lunin with a thunderous effort from 25 yards out.,neutral,0.499,True
"The players head to the tunnels, but the debate on the touchline is only just beginning.",neutral,0.476,True
The managers are locked in intense conversation with their staff.,neutral,0.483,True
Second half begins and the tactical battle shifts.,neutral,0.486,True
Ancelotti brings on Modrić to control the tempo.,neutral,0.49,True
It’s working—Madrid are finding pockets of space between the lines.,neutral,0.516,True
"Barcelona are pinned back, relying on the pace of Balde to clear the danger.",neutral,0.499,True
"It’s Modrić with a magical ball over the top, Mbappé chests it down and rifles it into the top right corner!",hyped,0.452,True
The stadium is shaking!,neutral,0.497,True
A masterclass in vision and finishing.,neutral,0.549,True
Barcelona look shellshocked now.,neutral,0.562,True
"They try to respond, bringing on fresh legs, but the Madrid press is suffocating.",neutral,0.542,True
A handball appeal in the Madrid box ignored by the VAR team.,neutral,0.54,True
"The Barcelona bench is up in arms, shouting at the fourth official.",neutral,0.537,True
It’s a total disgrace how the VAR team ignored such a clear violation.,neutral,0.497,True
The tension is unbearable.,neutral,0.563,True
Five minutes of stoppage time added.,neutral,0.418,True
"Barcelona throw everyone forward, even the goalkeeper is up for the corner.",neutral,0.478,True
The ball is whipped in—Lunin punches it clear!,neutral,0.46,True
"Real Madrid break on the counter, it's 3-on-1.",neutral,0.606,False
"Vinícius slides it across to Rodrygo, who taps it into an empty net.",neutral,0.466,True
That is surely the dagger The final whistle blows.,neutral,0.476,True
"A classic, intense, and controversial night at the Bernabéu.",neutral,0.551,True
"Fans are staying late to celebrate, while the Barcelona players sink to the grass, exhausted and bitter about the officiating.",neutral,0.534,True
This match will be discussed for weeks to come.,neutral,0.48,True
